 Document set number (Dnnn)
 |    Type (= Extract)
 |    | Target size (200, 400)
 |    | |   Document selector code (A-J)
 |    | |   | Peer summarizer code (manual[A-J] or system submission[15-31]
 |    | |   | |   Model summarizer code (A-J)
 |    | |   | |   |   Model sentences
 |    | |   | |   |   |     Peer sentences
 |    | |   | |   |   |     |    Model-only sentences
 |    | |   | |   |   |     |    |    Model and peer sentences
 |    | |   | |   |   |     |    |    |    Peer-only sentences
 |    | |   | |   |   |     |    |    |    |  Sentence precision
 |    | |   | |   |   |     |    |    |    |  |      Sentence recall
 |    | |   | |   |   |     |    |    |    |  |      |
 D061 E 200 J 16  B   10    7    9    1    6  0.143  0.100
 D061 E 200 J 16  I   10    7    9    1    6  0.143  0.100
 D061 E 200 J 19  B   10    9    8    2    7  0.222  0.200
 D061 E 200 J 19  I   10    9    7    3    6  0.333  0.300
 D061 E 200 J 20  B   10   10    9    1    9  0.100  0.100
 D061 E 200 J 20  I   10   10    8    2    8  0.200  0.200
 D061 E 200 J 21  B   10    7    9    1    6  0.143  0.100
 D061 E 200 J 21  I   10    7    7    3    4  0.429  0.300
 D061 E 200 J 22  B   10    4   10    0    4  0.000  0.000
 D061 E 200 J 22  I   10    4   10    0    4  0.000  0.000
 D061 E 200 J 24  B   10    7    9    1    6  0.143  0.100
 D061 E 200 J 24  I   10    7    8    2    5  0.286  0.200
 D061 E 200 J 25  B   10    6    9    1    5  0.167  0.100
 D061 E 200 J 25  I   10    6    9    1    5  0.167  0.100
 D061 E 200 J 28  B   10    7    9    1    6  0.143  0.100
 D061 E 200 J 28  I   10    7    7    3    4  0.429  0.300
 D061 E 200 J 29  B   10    8   10    0    8  0.000  0.000
 D061 E 200 J 29  I   10    8    9    1    7  0.125  0.100
 D061 E 200 J 31  B   10    7   10    0    7  0.000  0.000
 D061 E 200 J 31  I   10    7    9    1    6  0.143  0.100
 D061 E 400 J 16  B   19   12   18    1   11  0.083  0.053
 D061 E 400 J 16  I   19   12   16    3    9  0.250  0.158
 D061 E 400 J 19  B   19   20   15    4   16  0.200  0.211
 D061 E 400 J 19  I   19   20   10    9   11  0.450  0.474
 D061 E 400 J 20  B   19   20   14    5   15  0.250  0.263
 D061 E 400 J 20  I   19   20   15    4   16  0.200  0.211
 D061 E 400 J 21  B   19   13   17    2   11  0.154  0.105
 D061 E 400 J 21  I   19   13   15    4    9  0.308  0.211
 D061 E 400 J 22  B   19    8   19    0    8  0.000  0.000
 D061 E 400 J 22  I   19    8   19    0    8  0.000  0.000
 D061 E 400 J 24  B   19   15   17    2   13  0.133  0.105
 D061 E 400 J 24  I   19   15   16    3   12  0.200  0.158
 D061 E 400 J 25  B   19   15   16    3   12  0.200  0.158
 D061 E 400 J 25  I   19   15   16    3   12  0.200  0.158
 D061 E 400 J 28  B   19   15   17    2   13  0.133  0.105
 D061 E 400 J 28  I   19   15   15    4   11  0.267  0.211
 D061 E 400 J 29  B   19   12   17    2   10  0.167  0.105
 D061 E 400 J 29  I   19   12   15    4    8  0.333  0.211
 D061 E 400 J 31  B   19   15   16    3   12  0.200  0.158
 D061 E 400 J 31  I   19   15   18    1   14  0.067  0.053
 D062 E 200 J 16  A    8    5    8    0    5  0.000  0.000
 D062 E 200 J 16  G    8    5    8    0    5  0.000  0.000
 D062 E 200 J 19  A    8    6    7    1    5  0.167  0.125
 D062 E 200 J 19  G    8    6    6    2    4  0.333  0.250
 D062 E 200 J 20  A    8    7    7    1    6  0.143  0.125
 D062 E 200 J 20  G    8    7    5    3    4  0.429  0.375
 D062 E 200 J 21  A    8    6    7    1    5  0.167  0.125
 D062 E 200 J 21  G    8    6    7    1    5  0.167  0.125
 D062 E 200 J 22  A    8    6    8    0    6  0.000  0.000
 D062 E 200 J 22  G    8    6    8    0    6  0.000  0.000
 D062 E 200 J 24  A    8    8    8    0    8  0.000  0.000
 D062 E 200 J 24  G    8    8    6    2    6  0.250  0.250
 D062 E 200 J 25  A    8    7    7    1    6  0.143  0.125
 D062 E 200 J 25  G    8    7    6    2    5  0.286  0.250
 D062 E 200 J 28  A    8    8    8    0    8  0.000  0.000
 D062 E 200 J 28  G    8    8    6    2    6  0.250  0.250
 D062 E 200 J 29  A    8    7    7    1    6  0.143  0.125
 D062 E 200 J 29  G    8    7    8    0    7  0.000  0.000
 D062 E 200 J 31  A    8    6    8    0    6  0.000  0.000
 D062 E 200 J 31  G    8    6    7    1    5  0.167  0.125
